evaluation_id,dataset,total_rows,success_rows,actor_ineligible_rows,service_error_rows,actor_valid_rating,actor_plcc,actor_srcc,actor_mae,actor_format_success_rate,actor_full_completion_unique_count,actor_full_completion_unique_rate,judge_j0_mean,judge_j1_mean,judge_delta_mean,reasoning_reward_mean,positive_delta_rate,solution_rows,solution_exact_unique,solution_normalized_unique,solution_top_normalized,solution_top_count,solution_top_rate,house_family_count,house_family_rate,evidence_exact_unique,rating_unique,edited_image_hash_rows,edited_image_hash_unique,source_results_sha256
field_e5,agiqa3k,2982,2951,31,0,2951,0.8089118573591103,0.7390947670085277,0.6014617624138223,0.989604292421194,2974,0.9973172367538564,2.9369942392409354,3.881094544222298,0.9441003049813622,0.3496025009917441,0.9823788546255506,2951,2805,2800,super resolution to enhance detail and clarity super smooth super structure for clean architecture super smooth sky for clear skies natural daylight illumination and super detailed texture for realistic surfaces,8,0.0027109454422229754,2,0.0006777363605557439,2893,162,2951,2951,5839864ccf2ab73775d7db53e42aa89d595662256ed68adfb6812bbfc43216de
field_e5,csiq,866,865,1,0,865,0.8243991239798405,0.7850048268015137,0.5878419449248554,0.9988452655889144,859,0.9919168591224018,2.594508670520231,3.823387283236994,1.228878612716763,0.4949249046747818,0.9988439306358381,865,719,716,super resolution to enhance detail and texture super smooth super structure for clean architecture super sky for clear skies super nature for realistic foliage natural daylight illumination and super detail for fine textures,9,0.010404624277456647,0,0.0,718,113,865,865,5839864ccf2ab73775d7db53e42aa89d595662256ed68adfb6812bbfc43216de
field_e5,kadid_full,10125,9951,174,0,9951,0.6670232183708812,0.6689211396085699,0.9759448396378896,0.9828148148148148,9798,0.9677037037037036,3.2072294241784745,4.081214953271028,0.8739855290925536,0.3228904443715767,0.9924630690382876,9951,7940,7931,super resolution to enhance fine details and textures super smooth super structure for clean architecture super smooth sky for clear skies super smooth water for clear water and super smooth grass for clear grass,25,0.0025123103205707967,1,0.00010049241282283188,7420,167,9951,9951,5839864ccf2ab73775d7db53e42aa89d595662256ed68adfb6812bbfc43216de
field_e5,koniq,2010,2004,6,0,2004,0.9367066509478564,0.9171837930993616,0.3530841384215857,0.9970149253731344,2010,1.0,3.133932135728543,3.9950748502994013,0.8611427145708583,0.31687936223043967,0.9895209580838323,2004,1941,1940,super resolution to enhance fine details and textures super smooth super structure for clean architecture super smooth sky for clear skies super smooth water for clear water and natural daylight illumination,6,0.0029940119760479044,0,0.0,1972,147,2004,2004,5839864ccf2ab73775d7db53e42aa89d595662256ed68adfb6812bbfc43216de
field_e5,livew,1162,1162,0,0,1162,0.8933013124836403,0.8631270242555127,0.3735409545325385,1.0,1161,0.9991394148020654,2.6350086058519793,3.76512908777969,1.1301204819277109,0.45006735736177256,0.9974182444061962,1162,1140,1140,super resolution to enhance detail and texture super smooth super structure for clean architecture super smooth sky for clear skies super smooth water for clear water and natural daylight illumination,6,0.0051635111876075735,0,0.0,1128,130,1162,1162,5839864ccf2ab73775d7db53e42aa89d595662256ed68adfb6812bbfc43216de
field_e5,spaq_full,11125,11111,14,0,11112,0.8997301243818722,0.8994066667852589,0.3664800177687912,0.998741573033708,10870,0.9770786516853932,2.5028566285662857,3.8034083340833407,1.3005517055170552,0.49671306449423885,0.983709837098371,11111,9567,9516,super resolution to enhance fine details super smooth super structure for clean architecture super smooth sky for clear background natural daylight illumination and super detailed texture for realistic surfaces,34,0.003060030600306003,0,0.0,8984,171,11111,11111,5839864ccf2ab73775d7db53e42aa89d595662256ed68adfb6812bbfc43216de
completion_e4,agiqa3k,2982,2982,0,0,2975,0.8078283968040599,0.7338378402398815,0.6941157917659369,0.9976525821596244,2969,0.9956405097250168,2.9385714285714286,4.220389000670691,1.2818175720992622,0.46876538721044564,1.0,2982,4,4,generate high resolution image of symmetrical luxurious wealthy suburban house with landscaping and gardens,2964,0.993963782696177,2982,1.0,2943,128,2982,2982,63bee5784090b85731d6ef4cc3b8df72d367a08f4fb97639b8dc769a49d2d282
completion_e4,csiq,866,866,0,0,866,0.813875350885278,0.7849289924520583,1.4138101240092378,1.0,840,0.9699769053117784,2.5947344110854504,4.2148383371824485,1.6201039260969976,0.6694630852501103,1.0,866,2,2,generate high resolution image of symmetrical luxurious wealthy suburban house with landscaping and gardens,864,0.9976905311778291,866,1.0,595,111,866,866,63bee5784090b85731d6ef4cc3b8df72d367a08f4fb97639b8dc769a49d2d282
completion_e4,kadid_full,10125,10125,0,0,10125,0.667236027512024,0.67935078948677,0.7314713837841235,1.0,8879,0.8769382716049383,3.2086301234567904,4.351814320987654,1.1431841975308643,0.4361889066675806,1.0,10125,2,2,generate high resolution image of symmetrical luxurious wealthy suburban house with landscaping and gardens,10015,0.9891358024691358,10125,1.0,5842,147,10125,10125,63bee5784090b85731d6ef4cc3b8df72d367a08f4fb97639b8dc769a49d2d282
completion_e4,koniq,2010,2010,0,0,2010,0.9309449146345152,0.912821666191199,0.8660037235922773,1.0,2007,0.9985074626865672,3.1346616915422887,4.352597014925374,1.2179353233830847,0.4738967193023006,1.0,2010,3,3,generate high resolution image of symmetrical luxurious wealthy suburban house with landscaping and gardens,1998,0.9940298507462687,2010,1.0,1968,144,2010,2010,63bee5784090b85731d6ef4cc3b8df72d367a08f4fb97639b8dc769a49d2d282
